First Language,Percentage of Pupils who achieve A*-C in English and maths GCSES (Benchmark),"English Baccalaureate, Percentage of pupils who achieved all components (Benchmark)"
English,63.5,24.2
other than English,60.8,27.7
unclassified,31.9,7.9
