Ethnicity,Both,ERW,Math,None
American Indian/Alaska Native,24,48,46,50
Asian,75,85,81,10
Black/African American,21,50,23,49
Hispanic Latino,31,58,33,40
Native Hawaaiaan/Other Pacific Islander,31,57,33,40
White,59,82,61,16
Two or More Races,52,78,54,20
No Response,26,44,31,51
Total,47,70,49,27
